Country,AllCase,NewCase,AllDeath,NewDeath,AllRecovered,Continent,Reliability*
Albania,3.824516328007209,2.146128035678238,2.311753861055754,0.6989700043360189,3.5415792439465807,Europe,1
Andorra,2.9836262871245345,,1.7160033436347992,,2.9237619608287004,Europe,1
Austria,4.347232410084064,2.143014800254095,2.859138297294531,,4.303692727195117,Europe,1
Belarus,4.8388805602117015,1.7634279935629373,2.77232170672292,0.47712125471966244,4.814374135503189,Europe,1
Belgium,4.872855244704811,2.670245853074124,3.9947129854315704,0.8450980400142568,4.250224769901964,Europe,1
Bosnia and Herzegovina,4.1675536211968245,2.322219294733919,2.6503075231319366,1.3424226808222062,3.924847632975537,Europe,1
Bulgaria,4.130719636562953,,2.661812685537261,,3.9020028913507296,Europe,1
Channel Islands,2.7774268223893115,,1.6720978579357175,,2.7363965022766426,Europe,1
Croatia,3.7589118923979736,1.9590413923210936,2.2041199826559246,0.3010299956639812,3.6956567599361905,Europe,1
Czechia,4.271330371066159,2.2648178230095364,2.5921767573958667,0.0,4.1210343024722995,Europe,0
Denmark,4.1749025621783264,2.1583624920952498,2.79309160017658,0.0,4.113542279953964,Europe,1
Estonia,3.335858911319818,0.9542425094393249,1.7993405494535817,,3.2940250940953226,Europe,1
Faroe Islands,2.5024271199844326,1.0791812460476249,,,2.3521825181113627,Europe,0
Finland,3.882125919770032,1.3424226808222062,2.5224442335063197,,3.843855422623161,Europe,1
France,5.3070144100729415,,4.482015576450712,,4.918219119435931,Europe,0
Germany,5.340150519809059,2.546542663478131,3.966892295867136,0.0,5.298634783124435,Europe,1
Gibraltar,2.305351369446624,0.0,,,2.271841606536499,Europe,0
Greece,3.759592308645975,,2.3283796034387376,,3.5802405082653763,Europe,1
Hungary,3.6763277338813203,1.1760912590556813,2.781755374652469,,3.5474054596674898,Europe,1
Iceland,3.2940250940953226,0.7781512503836436,1.0,,3.2657609167176105,Europe,1
Ireland,4.427615923618319,,3.248463717551032,,4.368547197567657,Europe,1
Isle of Man,2.526339277389844,,1.380211241711606,,2.494154594018443,Europe,1
Italy,5.400083598888919,2.6148972160331345,4.54672769272835,0.7781512503836436,5.30634137759503,Europe,1
Latvia,3.111598524880394,0.47712125471966244,1.505149978319906,,3.03261876085072,Europe,1
Liechtenstein,1.9493900066449128,,0.0,,1.9395192526186185,Europe,1
Lithuania,3.3585059114902354,1.255272505103306,1.9084850188786497,,3.225050696138049,Europe,1
Luxembourg,3.8582965245338854,,2.0827853703164503,,3.7902851640332416,Europe,1
Malta,3.0572856444182146,1.462397997898956,0.9542425094393249,,2.840106094456758,Europe,1
Moldova,4.450603175761257,2.582063362911709,2.932980821923198,0.8450980400142568,4.295347148333618,Europe,1
Monaco,2.123851640967086,,0.6020599913279624,,2.0530784434834195,Europe,1
Montenegro,3.567731962548069,,1.8325089127062364,,3.401572845676446,Europe,1
Netherlands,4.777955773881275,2.8915374576725643,3.7895102040902544,0.3010299956639812,N/A,Europe,0
North Macedonia,4.082174775484666,2.1492191126553797,2.7234556720351857,0.0,3.91634865227546,Europe,1
Norway,3.9873086737311825,1.4471580313422192,2.4082399653118496,,3.9472866446777983,Europe,1
Poland,4.723956176778731,2.741151598851785,3.26030994579492,1.0791812460476249,4.569958818096594,Europe,1
Portugal,4.723824952641037,2.0791812460476247,3.245759355967277,0.3010299956639812,4.588383768378728,Europe,1
Romania,4.804561930962418,3.084576277934331,3.441538038702161,1.5440680443502757,4.485508484833821,Europe,1
Russia,5.953082360072154,3.694166295933198,4.179867631270406,2.113943352306837,5.847063421856598,Europe,1
San Marino,2.8444771757456815,,1.6232492903979006,,2.8175653695597807,Europe,1
Serbia,4.454799142393656,2.3710678622717363,2.81424759573192,0.7781512503836436,4.27795284703881,Europe,1
Slovakia,3.417471693203293,1.2041199826559248,1.4913616938342726,,3.2727695865517594,Europe,1
Slovenia,3.3564083270389813,1.2304489213782739,2.110589710299249,0.0,3.292256071356476,Europe,1
Spain,5.568272144489586,,4.456001437208452,,N/A,Europe,0
Sweden,4.919736882875006,,3.7611758131557314,0.6989700043360189,N/A,Europe,0
Switzerland,4.56696751468097,2.271841606536499,3.298853076409707,0.47712125471966244,4.510545010206612,Europe,1
UK,5.493654589252159,,4.667695716350138,,N/A,Europe,0
Ukraine,4.919679409215585,3.0637085593914173,3.2902572693945182,1.462397997898956,4.652575080970146,Europe,1
Vatican City,1.0791812460476249,,,,1.0791812460476249,Europe,0
